id_cmd|id_c|id_v|quantite_et_pdt|date_cmd
14|9|2|[{id_produit=9, quantite=7}, {id_produit=15, quantite=10}, {id_produit=26, quantite=8}, {id_produit=23, quantite=13}, {id_produit=9, quantite=8}, {id_produit=48, quantite=9}, {id_produit=48, quantite=5}, {id_produit=2, quantite=2}, {id_produit=40, quantite=1}, {id_produit=10, quantite=6}, {id_produit=29, quantite=13}, {id_produit=46, quantite=20}, {id_produit=16, quantite=3}, {id_produit=38, quantite=16}, {id_produit=35, quantite=1}, {id_produit=16, quantite=17}, {id_produit=43, quantite=9}, {id_produit=45, quantite=10}, {id_produit=47, quantite=19}]|07-09-2021
15|25|2|[{id_produit=3, quantite=15}, {id_produit=4, quantite=10}]|11-07-2022
16|48|5|[{id_produit=56, quantite=17}, {id_produit=49, quantite=9}, {id_produit=19, quantite=3}]|02-05-2022
17|30|4|[{id_produit=42, quantite=10}, {id_produit=48, quantite=18}, {id_produit=9, quantite=11}, {id_produit=26, quantite=18}, {id_produit=37, quantite=3}]|14-04-2022
18|81|3|[{id_produit=53, quantite=4}, {id_produit=35, quantite=13}, {id_produit=2, quantite=7}, {id_produit=30, quantite=14}, {id_produit=38, quantite=12}, {id_produit=47, quantite=4}, {id_produit=52, quantite=14}, {id_produit=45, quantite=3}, {id_produit=22, quantite=10}, {id_produit=56, quantite=20}, {id_produit=58, quantite=18}, {id_produit=13, quantite=11}, {id_produit=40, quantite=17}, {id_produit=12, quantite=7}, {id_produit=37, quantite=20}, {id_produit=9, quantite=11}]|13-11-2021
19|73|4|[{id_produit=23, quantite=17}, {id_produit=17, quantite=8}, {id_produit=45, quantite=6}]|18-09-2022
20|98|5|[{id_produit=6, quantite=17}, {id_produit=17, quantite=14}, {id_produit=50, quantite=20}, {id_produit=41, quantite=20}]|21-09-2021
21|56|2|[{id_produit=59, quantite=4}, {id_produit=5, quantite=8}, {id_produit=44, quantite=2}, {id_produit=57, quantite=3}, {id_produit=52, quantite=16}, {id_produit=1, quantite=6}, {id_produit=5, quantite=14}, {id_produit=16, quantite=14}]|20-10-2021
22|70|1|[{id_produit=25, quantite=4}, {id_produit=24, quantite=6}, {id_produit=30, quantite=10}, {id_produit=15, quantite=5}, {id_produit=52, quantite=4}, {id_produit=26, quantite=20}, {id_produit=58, quantite=12}, {id_produit=5, quantite=20}, {id_produit=5, quantite=12}]|30-03-2021
23|31|5|[{id_produit=49, quantite=10}, {id_produit=55, quantite=6}, {id_produit=19, quantite=1}, {id_produit=43, quantite=1}, {id_produit=27, quantite=6}, {id_produit=56, quantite=11}, {id_produit=59, quantite=4}, {id_produit=40, quantite=13}, {id_produit=41, quantite=17}, {id_produit=38, quantite=3}, {id_produit=22, quantite=12}, {id_produit=23, quantite=20}, {id_produit=3, quantite=16}, {id_produit=14, quantite=20}]|08-06-2022
24|89|1|[{id_produit=59, quantite=20}, {id_produit=37, quantite=8}, {id_produit=20, quantite=1}, {id_produit=36, quantite=4}, {id_produit=45, quantite=18}, {id_produit=22, quantite=7}, {id_produit=31, quantite=20}, {id_produit=24, quantite=12}, {id_produit=41, quantite=4}, {id_produit=24, quantite=4}, {id_produit=45, quantite=4}, {id_produit=17, quantite=9}]|14-11-2022
25|77|5|[{id_produit=34, quantite=12}, {id_produit=2, quantite=6}, {id_produit=8, quantite=11}, {id_produit=18, quantite=2}, {id_produit=8, quantite=1}, {id_produit=55, quantite=3}, {id_produit=24, quantite=5}, {id_produit=15, quantite=8}, {id_produit=42, quantite=13}]|08-03-2022
26|1|4|[{id_produit=4, quantite=9}, {id_produit=25, quantite=18}, {id_produit=22, quantite=11}, {id_produit=40, quantite=3}, {id_produit=54, quantite=4}, {id_produit=13, quantite=18}, {id_produit=18, quantite=9}, {id_produit=27, quantite=14}, {id_produit=60, quantite=18}, {id_produit=12, quantite=20}, {id_produit=56, quantite=17}, {id_produit=52, quantite=12}, {id_produit=5, quantite=16}, {id_produit=46, quantite=14}]|25-08-2022
27|14|4|[{id_produit=52, quantite=14}, {id_produit=38, quantite=1}, {id_produit=25, quantite=10}, {id_produit=54, quantite=5}, {id_produit=13, quantite=9}, {id_produit=55, quantite=17}, {id_produit=12, quantite=17}, {id_produit=50, quantite=13}, {id_produit=27, quantite=11}, {id_produit=6, quantite=7}, {id_produit=17, quantite=10}, {id_produit=58, quantite=18}, {id_produit=1, quantite=8}, {id_produit=53, quantite=19}, {id_produit=9, quantite=3}, {id_produit=47, quantite=8}, {id_produit=29, quantite=7}, {id_produit=17, quantite=19}, {id_produit=35, quantite=12}, {id_produit=2, quantite=6}]|19-05-2021
28|9|2|[{id_produit=17, quantite=5}, {id_produit=48, quantite=12}, {id_produit=48, quantite=19}, {id_produit=46, quantite=1}, {id_produit=38, quantite=7}]|18-05-2021
29|60|4|[{id_produit=51, quantite=5}, {id_produit=11, quantite=1}, {id_produit=13, quantite=11}]|26-02-2022
30|76|3|[{id_produit=33, quantite=6}, {id_produit=44, quantite=9}, {id_produit=52, quantite=6}, {id_produit=1, quantite=3}, {id_produit=32, quantite=3}, {id_produit=20, quantite=19}, {id_produit=60, quantite=8}, {id_produit=19, quantite=16}, {id_produit=25, quantite=20}, {id_produit=5, quantite=7}, {id_produit=40, quantite=16}]|18-03-2022
31|50|1|[{id_produit=40, quantite=15}, {id_produit=47, quantite=13}, {id_produit=6, quantite=4}, {id_produit=43, quantite=4}, {id_produit=8, quantite=8}, {id_produit=57, quantite=16}, {id_produit=44, quantite=6}, {id_produit=13, quantite=16}, {id_produit=52, quantite=3}, {id_produit=8, quantite=5}, {id_produit=13, quantite=4}, {id_produit=31, quantite=16}, {id_produit=25, quantite=3}, {id_produit=21, quantite=8}, {id_produit=49, quantite=17}, {id_produit=56, quantite=4}, {id_produit=22, quantite=10}]|23-02-2022
32|86|2|[{id_produit=54, quantite=10}, {id_produit=8, quantite=15}, {id_produit=12, quantite=6}, {id_produit=59, quantite=3}, {id_produit=35, quantite=17}, {id_produit=22, quantite=11}]|11-06-2022
33|82|4|[{id_produit=12, quantite=7}, {id_produit=56, quantite=9}, {id_produit=20, quantite=15}, {id_produit=56, quantite=11}, {id_produit=23, quantite=12}, {id_produit=44, quantite=12}, {id_produit=41, quantite=13}, {id_produit=46, quantite=17}]|24-02-2021
34|68|2|[{id_produit=47, quantite=8}, {id_produit=31, quantite=20}]|21-09-2022
35|38|4|[{id_produit=30, quantite=14}, {id_produit=10, quantite=1}]|06-12-2021
36|47|3|[{id_produit=3, quantite=19}, {id_produit=35, quantite=10}, {id_produit=1, quantite=17}]|14-01-2021
37|16|2|[{id_produit=51, quantite=4}, {id_produit=29, quantite=1}, {id_produit=34, quantite=1}, {id_produit=53, quantite=16}, {id_produit=7, quantite=8}, {id_produit=17, quantite=1}, {id_produit=20, quantite=7}, {id_produit=27, quantite=18}, {id_produit=34, quantite=14}, {id_produit=15, quantite=2}]|02-05-2022
38|45|2|[{id_produit=35, quantite=16}, {id_produit=25, quantite=2}, {id_produit=57, quantite=19}, {id_produit=7, quantite=7}, {id_produit=33, quantite=13}, {id_produit=27, quantite=19}, {id_produit=17, quantite=6}, {id_produit=23, quantite=5}, {id_produit=42, quantite=1}, {id_produit=58, quantite=2}, {id_produit=40, quantite=18}, {id_produit=10, quantite=8}]|13-12-2021
39|51|2|[{id_produit=53, quantite=8}, {id_produit=52, quantite=6}, {id_produit=48, quantite=2}, {id_produit=53, quantite=6}, {id_produit=58, quantite=11}, {id_produit=13, quantite=14}, {id_produit=53, quantite=6}, {id_produit=2, quantite=20}, {id_produit=57, quantite=10}, {id_produit=20, quantite=13}, {id_produit=36, quantite=7}, {id_produit=55, quantite=13}, {id_produit=23, quantite=2}, {id_produit=30, quantite=16}, {id_produit=39, quantite=13}]|07-07-2022
40|31|3|[{id_produit=5, quantite=3}, {id_produit=19, quantite=8}, {id_produit=46, quantite=4}, {id_produit=12, quantite=10}, {id_produit=13, quantite=16}, {id_produit=14, quantite=10}, {id_produit=33, quantite=20}, {id_produit=32, quantite=14}, {id_produit=26, quantite=3}, {id_produit=48, quantite=9}, {id_produit=52, quantite=11}, {id_produit=23, quantite=19}, {id_produit=45, quantite=5}, {id_produit=16, quantite=16}]|27-03-2022
41|61|5|[{id_produit=1, quantite=1}, {id_produit=57, quantite=1}, {id_produit=59, quantite=10}, {id_produit=2, quantite=9}, {id_produit=52, quantite=6}, {id_produit=5, quantite=2}, {id_produit=25, quantite=3}, {id_produit=28, quantite=15}, {id_produit=22, quantite=11}, {id_produit=1, quantite=13}, {id_produit=56, quantite=19}, {id_produit=9, quantite=3}, {id_produit=25, quantite=5}]|30-11-2021
42|49|5|[{id_produit=40, quantite=11}, {id_produit=6, quantite=17}, {id_produit=22, quantite=5}, {id_produit=22, quantite=8}, {id_produit=51, quantite=5}, {id_produit=50, quantite=16}, {id_produit=11, quantite=19}, {id_produit=9, quantite=12}, {id_produit=14, quantite=1}]|01-02-2022
43|31|2|[{id_produit=5, quantite=2}, {id_produit=30, quantite=3}, {id_produit=9, quantite=3}, {id_produit=57, quantite=6}, {id_produit=46, quantite=12}, {id_produit=15, quantite=11}, {id_produit=22, quantite=8}, {id_produit=11, quantite=17}]|23-07-2022
44|27|3|[{id_produit=56, quantite=9}, {id_produit=38, quantite=9}, {id_produit=23, quantite=10}, {id_produit=44, quantite=16}, {id_produit=11, quantite=12}, {id_produit=58, quantite=9}, {id_produit=44, quantite=16}, {id_produit=10, quantite=4}, {id_produit=19, quantite=15}, {id_produit=47, quantite=20}, {id_produit=52, quantite=14}, {id_produit=47, quantite=14}, {id_produit=19, quantite=16}, {id_produit=21, quantite=4}, {id_produit=27, quantite=13}, {id_produit=60, quantite=13}, {id_produit=15, quantite=18}, {id_produit=37, quantite=7}]|22-06-2022
45|92|4|[{id_produit=24, quantite=1}, {id_produit=40, quantite=19}, {id_produit=53, quantite=1}]|29-07-2021
46|68|2|[{id_produit=46, quantite=20}, {id_produit=7, quantite=7}, {id_produit=26, quantite=12}, {id_produit=51, quantite=3}, {id_produit=11, quantite=2}, {id_produit=8, quantite=4}, {id_produit=52, quantite=3}, {id_produit=34, quantite=10}, {id_produit=1, quantite=4}, {id_produit=5, quantite=9}, {id_produit=29, quantite=10}, {id_produit=35, quantite=12}, {id_produit=50, quantite=2}, {id_produit=31, quantite=8}, {id_produit=27, quantite=16}, {id_produit=8, quantite=6}, {id_produit=14, quantite=1}]|19-12-2021
47|1|1|[{id_produit=57, quantite=7}, {id_produit=32, quantite=18}, {id_produit=40, quantite=3}, {id_produit=4, quantite=3}, {id_produit=19, quantite=10}, {id_produit=11, quantite=15}, {id_produit=41, quantite=11}, {id_produit=27, quantite=6}, {id_produit=55, quantite=5}, {id_produit=8, quantite=14}]|20-02-2022
48|43|5|[{id_produit=5, quantite=11}, {id_produit=27, quantite=17}, {id_produit=7, quantite=11}, {id_produit=6, quantite=6}, {id_produit=50, quantite=3}, {id_produit=44, quantite=19}, {id_produit=56, quantite=9}, {id_produit=52, quantite=2}, {id_produit=31, quantite=14}]|13-04-2022
49|87|4|[{id_produit=25, quantite=7}, {id_produit=37, quantite=20}, {id_produit=46, quantite=9}, {id_produit=22, quantite=11}, {id_produit=11, quantite=2}, {id_produit=58, quantite=1}, {id_produit=24, quantite=20}, {id_produit=54, quantite=1}, {id_produit=2, quantite=18}, {id_produit=27, quantite=13}, {id_produit=38, quantite=18}, {id_produit=15, quantite=10}, {id_produit=58, quantite=20}, {id_produit=2, quantite=18}, {id_produit=30, quantite=5}, {id_produit=28, quantite=2}]|07-05-2022
50|61|5|[{id_produit=9, quantite=16}, {id_produit=42, quantite=3}, {id_produit=27, quantite=16}, {id_produit=23, quantite=18}, {id_produit=12, quantite=18}, {id_produit=36, quantite=8}, {id_produit=26, quantite=20}, {id_produit=55, quantite=18}, {id_produit=50, quantite=19}, {id_produit=47, quantite=14}, {id_produit=60, quantite=17}]|15-07-2022
51|62|1|[{id_produit=48, quantite=4}, {id_produit=14, quantite=5}, {id_produit=15, quantite=2}, {id_produit=19, quantite=2}, {id_produit=3, quantite=15}, {id_produit=28, quantite=8}, {id_produit=21, quantite=3}, {id_produit=56, quantite=6}, {id_produit=59, quantite=20}, {id_produit=42, quantite=1}, {id_produit=57, quantite=11}, {id_produit=9, quantite=9}, {id_produit=52, quantite=15}, {id_produit=58, quantite=15}, {id_produit=37, quantite=3}, {id_produit=16, quantite=6}, {id_produit=49, quantite=8}]|02-04-2022
52|72|2|[{id_produit=54, quantite=7}, {id_produit=43, quantite=6}, {id_produit=12, quantite=20}, {id_produit=49, quantite=12}, {id_produit=23, quantite=14}, {id_produit=13, quantite=3}]|31-10-2022
53|56|1|[{id_produit=29, quantite=14}, {id_produit=50, quantite=10}, {id_produit=12, quantite=19}]|23-03-2021
54|74|2|[{id_produit=59, quantite=4}, {id_produit=12, quantite=7}, {id_produit=28, quantite=11}, {id_produit=29, quantite=13}, {id_produit=9, quantite=14}, {id_produit=52, quantite=12}, {id_produit=24, quantite=7}, {id_produit=11, quantite=20}, {id_produit=2, quantite=12}, {id_produit=29, quantite=20}, {id_produit=23, quantite=11}, {id_produit=3, quantite=1}, {id_produit=25, quantite=15}, {id_produit=52, quantite=19}, {id_produit=41, quantite=8}, {id_produit=39, quantite=19}, {id_produit=36, quantite=4}]|30-04-2021
55|33|5|[{id_produit=50, quantite=12}, {id_produit=14, quantite=1}, {id_produit=15, quantite=8}, {id_produit=56, quantite=6}, {id_produit=3, quantite=5}, {id_produit=45, quantite=12}, {id_produit=10, quantite=9}, {id_produit=33, quantite=15}, {id_produit=49, quantite=17}, {id_produit=32, quantite=13}, {id_produit=7, quantite=4}, {id_produit=54, quantite=16}, {id_produit=56, quantite=4}, {id_produit=24, quantite=4}, {id_produit=19, quantite=11}, {id_produit=16, quantite=5}]|11-10-2021
56|68|2|[{id_produit=39, quantite=14}, {id_produit=2, quantite=11}, {id_produit=11, quantite=13}, {id_produit=3, quantite=9}, {id_produit=9, quantite=2}]|20-09-2021
57|84|4|[{id_produit=21, quantite=4}, {id_produit=46, quantite=5}]|20-09-2022
58|53|5|[{id_produit=31, quantite=15}]|09-06-2022
59|70|4|[{id_produit=45, quantite=7}, {id_produit=28, quantite=20}, {id_produit=27, quantite=17}, {id_produit=3, quantite=14}, {id_produit=50, quantite=16}, {id_produit=25, quantite=7}, {id_produit=18, quantite=18}, {id_produit=18, quantite=2}, {id_produit=4, quantite=19}, {id_produit=28, quantite=4}, {id_produit=14, quantite=7}, {id_produit=12, quantite=19}, {id_produit=23, quantite=5}, {id_produit=28, quantite=12}, {id_produit=58, quantite=9}, {id_produit=20, quantite=2}, {id_produit=47, quantite=2}, {id_produit=12, quantite=2}, {id_produit=56, quantite=15}]|17-07-2021
60|45|5|[{id_produit=36, quantite=13}, {id_produit=5, quantite=5}, {id_produit=50, quantite=7}, {id_produit=54, quantite=17}, {id_produit=19, quantite=12}, {id_produit=47, quantite=17}, {id_produit=42, quantite=6}, {id_produit=26, quantite=3}, {id_produit=11, quantite=12}, {id_produit=10, quantite=7}, {id_produit=27, quantite=14}, {id_produit=46, quantite=7}, {id_produit=47, quantite=15}, {id_produit=37, quantite=14}, {id_produit=20, quantite=14}, {id_produit=38, quantite=15}, {id_produit=3, quantite=11}, {id_produit=54, quantite=19}, {id_produit=54, quantite=14}, {id_produit=33, quantite=12}]|30-07-2022
61|7|4|[{id_produit=46, quantite=12}, {id_produit=47, quantite=1}, {id_produit=19, quantite=16}, {id_produit=31, quantite=8}, {id_produit=46, quantite=15}, {id_produit=31, quantite=16}, {id_produit=52, quantite=10}, {id_produit=47, quantite=13}, {id_produit=10, quantite=9}, {id_produit=60, quantite=1}, {id_produit=1, quantite=12}, {id_produit=16, quantite=9}, {id_produit=58, quantite=14}]|08-12-2021
62|17|2|[{id_produit=48, quantite=8}]|24-04-2021
63|93|3|[{id_produit=31, quantite=13}, {id_produit=33, quantite=14}, {id_produit=29, quantite=11}, {id_produit=23, quantite=14}, {id_produit=13, quantite=7}, {id_produit=32, quantite=10}, {id_produit=45, quantite=8}, {id_produit=36, quantite=18}, {id_produit=15, quantite=13}, {id_produit=9, quantite=1}, {id_produit=43, quantite=9}, {id_produit=45, quantite=13}, {id_produit=9, quantite=6}]|17-12-2021
64|3|3|[{id_produit=32, quantite=20}, {id_produit=11, quantite=4}, {id_produit=58, quantite=18}, {id_produit=33, quantite=16}, {id_produit=16, quantite=13}, {id_produit=28, quantite=9}, {id_produit=4, quantite=1}, {id_produit=51, quantite=12}, {id_produit=48, quantite=18}, {id_produit=50, quantite=5}, {id_produit=21, quantite=4}, {id_produit=50, quantite=9}, {id_produit=50, quantite=15}, {id_produit=47, quantite=14}]|13-09-2022
65|20|4|[{id_produit=18, quantite=8}, {id_produit=6, quantite=1}, {id_produit=6, quantite=16}, {id_produit=16, quantite=20}, {id_produit=25, quantite=13}]|19-11-2021
66|85|1|[{id_produit=55, quantite=16}, {id_produit=42, quantite=17}]|06-06-2021
67|11|4|[{id_produit=56, quantite=17}, {id_produit=4, quantite=18}, {id_produit=23, quantite=20}, {id_produit=24, quantite=14}, {id_produit=11, quantite=7}, {id_produit=13, quantite=16}, {id_produit=26, quantite=13}, {id_produit=42, quantite=7}, {id_produit=23, quantite=10}, {id_produit=25, quantite=12}, {id_produit=18, quantite=3}, {id_produit=27, quantite=20}, {id_produit=44, quantite=1}, {id_produit=3, quantite=15}, {id_produit=35, quantite=11}, {id_produit=35, quantite=18}, {id_produit=15, quantite=6}, {id_produit=26, quantite=14}, {id_produit=37, quantite=11}]|28-12-2022
68|93|5|[{id_produit=46, quantite=12}, {id_produit=4, quantite=19}, {id_produit=37, quantite=3}, {id_produit=35, quantite=19}, {id_produit=21, quantite=5}, {id_produit=3, quantite=9}, {id_produit=26, quantite=2}, {id_produit=20, quantite=5}, {id_produit=7, quantite=6}, {id_produit=16, quantite=9}, {id_produit=29, quantite=9}]|22-04-2021
69|36|1|[{id_produit=14, quantite=20}, {id_produit=36, quantite=14}, {id_produit=53, quantite=1}, {id_produit=11, quantite=8}, {id_produit=13, quantite=7}, {id_produit=28, quantite=4}, {id_produit=18, quantite=19}, {id_produit=50, quantite=18}, {id_produit=1, quantite=20}, {id_produit=12, quantite=10}, {id_produit=39, quantite=10}, {id_produit=43, quantite=13}]|20-07-2022
70|68|2|[{id_produit=55, quantite=3}, {id_produit=41, quantite=5}, {id_produit=44, quantite=15}, {id_produit=54, quantite=10}, {id_produit=27, quantite=20}, {id_produit=51, quantite=1}, {id_produit=31, quantite=18}, {id_produit=19, quantite=19}, {id_produit=53, quantite=3}, {id_produit=43, quantite=13}, {id_produit=26, quantite=10}, {id_produit=39, quantite=8}, {id_produit=17, quantite=15}, {id_produit=13, quantite=16}, {id_produit=49, quantite=7}, {id_produit=27, quantite=8}, {id_produit=57, quantite=18}, {id_produit=47, quantite=14}, {id_produit=46, quantite=1}, {id_produit=46, quantite=15}]|26-03-2022
71|37|5|[{id_produit=40, quantite=16}]|06-05-2021
72|66|3|[{id_produit=29, quantite=10}, {id_produit=51, quantite=9}, {id_produit=12, quantite=1}, {id_produit=17, quantite=20}, {id_produit=19, quantite=16}, {id_produit=40, quantite=6}, {id_produit=37, quantite=5}, {id_produit=19, quantite=14}, {id_produit=9, quantite=11}, {id_produit=18, quantite=13}, {id_produit=52, quantite=8}, {id_produit=8, quantite=18}, {id_produit=28, quantite=6}, {id_produit=23, quantite=14}, {id_produit=45, quantite=8}, {id_produit=36, quantite=15}, {id_produit=3, quantite=20}, {id_produit=29, quantite=7}]|07-12-2022
73|43|5|[{id_produit=15, quantite=14}, {id_produit=42, quantite=2}, {id_produit=8, quantite=7}, {id_produit=37, quantite=7}, {id_produit=51, quantite=11}, {id_produit=59, quantite=2}, {id_produit=18, quantite=17}, {id_produit=50, quantite=17}, {id_produit=21, quantite=7}, {id_produit=22, quantite=11}, {id_produit=2, quantite=14}, {id_produit=41, quantite=18}, {id_produit=52, quantite=7}, {id_produit=18, quantite=17}, {id_produit=41, quantite=9}]|12-03-2022
74|100|4|[{id_produit=9, quantite=13}, {id_produit=2, quantite=1}, {id_produit=9, quantite=17}, {id_produit=28, quantite=10}, {id_produit=13, quantite=2}, {id_produit=59, quantite=4}]|08-12-2022
75|14|3|[{id_produit=15, quantite=18}]|30-08-2021
76|96|4|[{id_produit=11, quantite=9}, {id_produit=51, quantite=14}, {id_produit=17, quantite=9}, {id_produit=54, quantite=4}, {id_produit=57, quantite=17}, {id_produit=35, quantite=13}, {id_produit=7, quantite=7}, {id_produit=32, quantite=19}, {id_produit=27, quantite=6}, {id_produit=25, quantite=13}, {id_produit=37, quantite=9}]|12-09-2022
77|20|2|[{id_produit=15, quantite=5}, {id_produit=15, quantite=19}, {id_produit=43, quantite=10}, {id_produit=14, quantite=11}, {id_produit=6, quantite=17}, {id_produit=45, quantite=6}, {id_produit=8, quantite=20}, {id_produit=30, quantite=14}, {id_produit=39, quantite=11}, {id_produit=9, quantite=12}]|30-05-2021
78|8|4|[{id_produit=35, quantite=5}, {id_produit=55, quantite=11}, {id_produit=48, quantite=13}, {id_produit=43, quantite=3}, {id_produit=53, quantite=6}, {id_produit=12, quantite=9}, {id_produit=10, quantite=17}]|14-08-2021
79|13|3|[{id_produit=14, quantite=10}, {id_produit=8, quantite=20}, {id_produit=22, quantite=5}, {id_produit=37, quantite=12}, {id_produit=29, quantite=18}, {id_produit=31, quantite=19}, {id_produit=60, quantite=13}, {id_produit=39, quantite=17}, {id_produit=58, quantite=19}]|06-02-2021
80|100|1|[{id_produit=33, quantite=17}, {id_produit=18, quantite=13}, {id_produit=1, quantite=1}, {id_produit=54, quantite=9}, {id_produit=10, quantite=5}, {id_produit=13, quantite=20}, {id_produit=60, quantite=18}, {id_produit=11, quantite=16}, {id_produit=19, quantite=15}, {id_produit=19, quantite=2}, {id_produit=28, quantite=17}, {id_produit=9, quantite=11}, {id_produit=14, quantite=15}, {id_produit=12, quantite=9}, {id_produit=54, quantite=7}, {id_produit=49, quantite=1}]|18-02-2022
81|80|1|[{id_produit=24, quantite=6}, {id_produit=33, quantite=7}, {id_produit=48, quantite=2}, {id_produit=1, quantite=19}, {id_produit=10, quantite=11}, {id_produit=36, quantite=4}, {id_produit=13, quantite=20}, {id_produit=51, quantite=20}]|15-09-2022
82|60|4|[{id_produit=44, quantite=7}, {id_produit=20, quantite=5}, {id_produit=32, quantite=3}, {id_produit=10, quantite=7}, {id_produit=30, quantite=19}, {id_produit=47, quantite=8}, {id_produit=32, quantite=5}, {id_produit=11, quantite=10}, {id_produit=26, quantite=1}, {id_produit=28, quantite=4}, {id_produit=17, quantite=16}, {id_produit=11, quantite=6}, {id_produit=1, quantite=13}, {id_produit=7, quantite=19}, {id_produit=13, quantite=9}, {id_produit=46, quantite=20}]|27-11-2022
83|51|3|[{id_produit=29, quantite=4}, {id_produit=1, quantite=9}, {id_produit=26, quantite=17}, {id_produit=44, quantite=19}, {id_produit=16, quantite=2}, {id_produit=43, quantite=1}, {id_produit=29, quantite=16}, {id_produit=41, quantite=3}, {id_produit=30, quantite=11}, {id_produit=13, quantite=8}, {id_produit=1, quantite=16}, {id_produit=12, quantite=16}, {id_produit=37, quantite=2}]|21-05-2021
